L1 Block Size,L1 Cache Size,L1 Associativity,Energy,Timing,General,Mobile,Commercial
-0.72852183,-0.629186038,-0.848137783,-0.295754963,-0.312408033,-0.137639655,-0.091390844,-0.09114545
-0.72852183,0.470185956,0.579849301,-0.303194734,-0.258530363,-0.137311935,-0.091390841,-0.091145129
2.314557664,-0.262728707,-0.181743811,-0.024039237,-0.019631173,-0.121283014,-0.091367729,-0.091112799
2.314557664,-0.629186038,-0.848137783,6.104507734,6.079477139,4.917838043,2.231073976,2.184383381
-0.777603758,-0.262728707,-0.181743811,-0.325789584,-0.299509239,-0.138029488,-0.091390899,-0.091145489
-0.630357976,1.936015281,-0.562540366,-0.270457781,-0.260244106,-0.13661932,-0.091390672,-0.091144901
-0.72852183,-0.904029036,-0.562540366,-0.308810907,-0.343043484,-0.138070555,-0.091390885,-0.091145578
-0.434030266,-0.629186038,-0.848137783,-0.142333462,-0.163022434,-0.131183407,-0.091386528,-0.091139441
-0.434030266,1.936015281,-0.562540366,-0.237354383,-0.233209817,-0.135469878,-0.091390258,-0.091144136
2.314557664,-0.812414704,-0.752938644,1.57540702,1.547771079,0.324809424,-0.072143471,-0.071744198
-0.041374848,-0.629186038,-0.848137783,0.122103392,0.101120949,-0.106776846,-0.091305404,-0.091046195
-0.041374848,-0.262728707,2.103035524,-0.20463617,-0.16144828,-0.133222185,-0.091389212,-0.091141051
-0.777603758,-0.904029036,-0.752938644,-0.325812624,-0.370711832,-0.138420934,-0.091390908,-0.091145632
-0.434030266,-0.904029036,-0.562540366,-0.23740015,-0.277736038,-0.136187001,-0.0913904,-0.091144918
-0.72852183,-0.812414704,-0.848137783,-0.292597081,-0.322510292,-0.137686883,-0.091390841,-0.091145488
0.743935989,-0.629186038,-0.181743811,-0.11126155,-0.111911094,-0.128556956,-0.091383307,-0.09113394
-0.434030266,-0.812414704,-0.562540366,-0.244768196,-0.270461768,-0.136220063,-0.091390461,-0.091144861
-0.041374848,-0.262728707,-0.181743811,-0.204322078,-0.19243073,-0.13383262,-0.091389392,-0.091142414
-0.041374848,0.470185956,2.103035524,-0.20130782,-0.154504226,-0.132969284,-0.091389063,-0.0911406
-0.630357976,-0.262728707,2.103035524,-0.286819617,-0.237124152,-0.136737571,-0.091390754,-0.091144747
2.314557664,-0.629186038,-0.562540366,0.293673033,0.275329268,-0.081767708,-0.091114415,-0.09083627
-0.72852183,-0.812414704,2.103035524,-0.311676838,-0.283126748,-0.137673499,-0.091390873,-0.091145356
-0.630357976,-0.904029036,0.579849301,-0.281303269,-0.286697005,-0.137139719,-0.091390768,-0.091145235
-0.041374848,-0.629186038,-0.181743811,-0.194484817,-0.192949064,-0.13355138,-0.091389111,-0.091142245
-0.630357976,-0.629186038,2.103035524,-0.288831653,-0.250336606,-0.136917653,-0.091390775,-0.09114493
-0.72852183,-0.262728707,-0.752938644,-0.311962695,-0.320908385,-0.137949055,-0.091390884,-0.091145523
-0.434030266,-0.629186038,-0.752938644,-0.247450134,-0.275238427,-0.136345734,-0.091390502,-0.091144941
-0.041374848,-0.812414704,-0.562540366,-0.181431651,-0.208995545,-0.133529997,-0.091388827,-0.09114266
-0.72852183,-0.904029036,-0.181743811,-0.308874761,-0.326908033,-0.137949952,-0.09139088,-0.091145536
-0.72852183,-0.629186038,2.103035524,-0.312879583,-0.271112815,-0.137611576,-0.091390872,-0.09114529
-0.777603758,-0.629186038,-0.752938644,-0.328445522,-0.345426144,-0.138312037,-0.091390907,-0.091145605
2.314557664,-0.904029036,-0.848137783,9.87150408,9.982991417,12.64750362,14.60001896,14.61503075
-0.777603758,-0.904029036,-0.848137783,-0.313210364,-0.350167959,-0.13817178,-0.091390894,-0.091145598
-0.777603758,1.936015281,-0.181743811,-0.302646122,-0.270918374,-0.137402386,-0.091390844,-0.091145225
-0.630357976,1.936015281,2.103035524,-0.26170492,-0.211104661,-0.135783238,-0.091390517,-0.091143969
0.743935989,-0.812414704,0.579849301,-0.088931857,-0.085602143,-0.126787459,-0.091380397,-0.09112963
-0.777603758,-0.262728707,2.103035524,-0.324102847,-0.266837539,-0.13781488,-0.091390893,-0.091145336
2.314557664,-0.262728707,2.103035524,-0.02672126,0.009090799,-0.120231682,-0.091366716,-0.091105912
2.314557664,0.470185956,-0.752938644,0.237577965,0.195498612,-0.092400997,-0.091202296,-0.090946959
-0.630357976,-0.904029036,-0.848137783,-0.216602869,-0.260112012,-0.135454339,-0.091390035,-0.091144498
0.743935989,-0.262728707,-0.181743811,-0.134049665,-0.125574948,-0.129842502,-0.091385376,-0.091136244
-0.777603758,0.470185956,-0.752938644,-0.321791319,-0.317298246,-0.138068248,-0.091390897,-0.091145534
-0.434030266,-0.904029036,0.579849301,-0.237894788,-0.245773601,-0.135684576,-0.091390306,-0.0911444
-0.041374848,1.936015281,-0.562540366,-0.193671963,-0.196821835,-0.133609838,-0.091389115,-0.091142387
0.743935989,-0.812414704,-0.752938644,0.37423727,0.339142274,-0.069161136,-0.09096659,-0.090697534
-0.434030266,-0.629186038,-0.562540366,-0.251038836,-0.263096912,-0.136241351,-0.091390509,-0.091144798
0.743935989,1.936015281,0.579849301,-0.142184028,-0.125549664,-0.130148584,-0.091385925,-0.091136564
-0.630357976,-0.629186038,-0.562540366,-0.289022325,-0.298353094,-0.137397264,-0.091390812,-0.091145351
0.743935989,1.936015281,-0.181743811,-0.144256433,-0.141312299,-0.130656038,-0.091386302,-0.091137931
-0.630357976,-0.262728707,-0.848137783,-0.259692718,-0.269030085,-0.136504766,-0.091390601,-0.091144937
-0.777603758,-0.904029036,0.579849301,-0.325730542,-0.322054868,-0.138152537,-0.091390902,-0.091145555
-0.630357976,-0.812414704,2.103035524,-0.284727714,-0.259346332,-0.136918007,-0.091390761,-0.091144997
2.314557664,1.936015281,0.579849301,-0.098292666,-0.088465825,-0.127279054,-0.091381485,-0.091130533
-0.777603758,1.936015281,0.579849301,-0.299291408,-0.254593439,-0.13719275,-0.091390825,-0.091145063
-0.72852183,-0.629186038,0.579849301,-0.313208748,-0.287387133,-0.137732199,-0.091390877,-0.091145386
-0.630357976,-0.262728707,-0.181743811,-0.288141998,-0.269677583,-0.137095424,-0.091390787,-0.091145124
-0.777603758,-0.629186038,2.103035524,-0.327868566,-0.281790483,-0.137971638,-0.0913909,-0.09114543
-0.72852183,-0.812414704,-0.181743811,-0.311813567,-0.31549408,-0.137908106,-0.091390882,-0.091145504
2.314557664,-0.629186038,-0.181743811,0.026721657,0.023955159,-0.116645091,-0.091352402,-0.091095051
-0.041374848,0.470185956,-0.848137783,-0.005543583,-0.025146918,-0.120592658,-0.091364183,-0.091112394
-0.041374848,-0.812414704,2.103035524,-0.182656373,-0.1617748,-0.132495062,-0.091388449,-0.091140464
-0.434030266,0.470185956,-0.562540366,-0.249414445,-0.242767821,-0.135909197,-0.091390443,-0.091144454
-0.777603758,-0.904029036,2.103035524,-0.325642923,-0.305741978,-0.13806137,-0.0913909,-0.091145509
-0.72852183,-0.262728707,-0.848137783,-0.301959102,-0.308326658,-0.137700748,-0.091390858,-0.091145448
-0.041374848,-0.904029036,-0.752938644,-0.024072193,-0.075517804,-0.123611091,-0.091370814,-0.091124228
2.314557664,-0.904029036,-0.752938644,2.475196071,2.45751225,0.849213414,-0.003701162,-0.003305613
-0.434030266,-0.262728707,-0.562540366,-0.252640724,-0.253054274,-0.136132225,-0.091390503,-0.091144658
-0.041374848,-0.904029036,-0.181743811,-0.171341887,-0.197166796,-0.132966489,-0.091388352,-0.091141993
0.743935989,-0.629186038,0.579849301,-0.1111305,-0.095779554,-0.128048469,-0.091382922,-0.091132122
-0.434030266,-0.629186038,2.103035524,-0.251448035,-0.215620664,-0.135566492,-0.091390405,-0.091143919
-0.041374848,1.936015281,0.579849301,-0.189094814,-0.164966193,-0.132779748,-0.091388718,-0.091140811
0.743935989,-0.904029036,-0.562540366,0.267204541,0.233359924,-0.08724776,-0.091160472,-0.090897827
-0.434030266,-0.629186038,-0.181743811,-0.251121682,-0.247213649,-0.136013807,-0.091390473,-0.091144549
-0.777603758,-0.629186038,0.579849301,-0.32827031,-0.298094573,-0.138064019,-0.091390902,-0.091145493
-0.630357976,-0.812414704,-0.181743811,-0.285401041,-0.292396582,-0.13727408,-0.091390792,-0.091145297
2.314557664,-0.812414704,-0.562540366,0.774185097,0.753010152,0.024972973,-0.089036059,-0.088676025
-0.72852183,-0.904029036,2.103035524,-0.308713157,-0.294257966,-0.137701574,-0.091390869,-0.091145403
-0.434030266,-0.812414704,-0.752938644,-0.239325874,-0.280742394,-0.136272185,-0.091390432,-0.091144968
-0.72852183,0.470185956,-0.181743811,-0.304710272,-0.274865817,-0.13747596,-0.091390852,-0.091145266
-0.777603758,1.936015281,-0.752938644,-0.309184818,-0.303513007,-0.137779094,-0.091390873,-0.091145449
0.743935989,-0.262728707,2.103035524,-0.134127241,-0.09431647,-0.128956197,-0.091384832,-0.091133159
2.314557664,1.936015281,-0.752938644,-0.0816112,-0.115778419,-0.127524552,-0.091380524,-0.091133062
-0.777603758,-0.812414704,-0.562540366,-0.32829349,-0.343357084,-0.138299557,-0.091390907,-0.091145602
-0.434030266,-0.262728707,2.103035524,-0.252785695,-0.206363725,-0.135470718,-0.091390401,-0.091143718
-0.72852183,-0.262728707,-0.181743811,-0.311258164,-0.289227365,-0.137709748,-0.091390873,-0.091145387
-0.630357976,-0.904029036,2.103035524,-0.281348884,-0.270510707,-0.136965472,-0.091390753,-0.09114509
2.314557664,0.470185956,2.103035524,-0.078373919,-0.042138794,-0.124812112,-0.091377736,-0.091122147
2.314557664,1.936015281,-0.181743811,-0.096895781,-0.101210251,-0.127639537,-0.091381686,-0.091132047
-0.777603758,0.470185956,2.103035524,-0.315230984,-0.252125239,-0.137530929,-0.091390873,-0.091145174
0.743935989,0.470185956,-0.562540366,-0.136561584,-0.140419319,-0.130355196,-0.091385803,-0.091137598
-0.777603758,-0.812414704,-0.181743811,-0.328276851,-0.327322235,-0.138216029,-0.091390905,-0.091145572
-0.434030266,-0.812414704,0.579849301,-0.244392153,-0.237744058,-0.135713697,-0.091390369,-0.091144307
0.743935989,-0.904029036,-0.752938644,0.508903077,0.465384694,-0.043275052,-0.090579733,-0.090315789
-0.72852183,-0.904029036,-0.752938644,-0.308178094,-0.358428983,-0.138180162,-0.09139089,-0.091145608
0.743935989,-0.629186038,-0.848137783,1.433172151,1.417567949,0.262800045,-0.077064831,-0.076468282
-0.041374848,0.470185956,-0.752938644,-0.201506449,-0.214744542,-0.1342037,-0.091389458,-0.09114317
-0.630357976,0.470185956,-0.848137783,-0.262365915,-0.264829603,-0.136504672,-0.091390616,-0.091144901
-0.434030266,1.936015281,-0.752938644,-0.239696408,-0.249143129,-0.135779844,-0.09139034,-0.09114448
-0.72852183,1.936015281,-0.562540366,-0.292849977,-0.277840564,-0.137268789,-0.091390813,-0.091145222
-0.434030266,0.470185956,2.103035524,-0.246240454,-0.194758777,-0.135112875,-0.091390281,-0.091143293
0.743935989,0.470185956,2.103035524,-0.147321089,-0.105517283,-0.129804115,-0.091385956,-0.091134961
-0.777603758,-0.904029036,-0.562540366,-0.325934072,-0.354733204,-0.138334424,-0.091390906,-0.091145616
0.743935989,-0.812414704,-0.181743811,-0.087914155,-0.100732324,-0.127258359,-0.091380737,-0.091131543
2.314557664,-0.904029036,-0.562540366,1.317361044,1.295714935,0.212382939,-0.080419447,-0.079939094
-0.72852183,1.936015281,0.579849301,-0.286720126,-0.245085305,-0.136816142,-0.09139076,-0.091144849
-0.041374848,-0.629186038,2.103035524,-0.193190852,-0.15963744,-0.132801003,-0.091388823,-0.091140639
-0.434030266,-0.812414704,2.103035524,-0.244544063,-0.221752727,-0.135473924,-0.091390328,-0.091143965
2.314557664,-0.629186038,-0.752938644,1.035794473,1.002635196,0.104439702,-0.086114147,-0.085782967
-0.630357976,-0.629186038,-0.752938644,-0.287520995,-0.312573802,-0.137515022,-0.091390817,-0.091145429
-0.041374848,0.470185956,0.579849301,-0.202632312,-0.170795712,-0.133344448,-0.091389209,-0.091141448
-0.630357976,0.470185956,-0.181743811,-0.282097898,-0.256220141,-0.136827421,-0.091390744,-0.091144942
-0.041374848,-0.262728707,-0.562540366,-0.202378988,-0.206122294,-0.134052481,-0.091389426,-0.091142889
-0.041374848,1.936015281,-0.752938644,-0.195501313,-0.212342052,-0.133990663,-0.091389281,-0.091143
0.743935989,0.470185956,-0.752938644,-0.000629256,-0.026187705,-0.120394463,-0.091363162,-0.0911122
-0.630357976,0.470185956,0.579849301,-0.28067125,-0.239891107,-0.136617981,-0.091390719,-0.091144721
-0.630357976,-0.904029036,-0.181743811,-0.281306091,-0.302940058,-0.137315555,-0.091390784,-0.091145354
2.314557664,-0.262728707,-0.752938644,0.941548583,0.896456064,0.071453378,-0.087420124,-0.087167219
-0.434030266,-0.904029036,-0.752938644,-0.227001839,-0.282695211,-0.136070241,-0.091390291,-0.091144932
-0.72852183,-0.262728707,0.579849301,-0.310521242,-0.27291403,-0.137576929,-0.091390867,-0.091145287
0.743935989,-0.262728707,-0.848137783,1.051161474,1.016707585,0.109493322,-0.085886255,-0.085564273
-0.777603758,-0.262728707,-0.752938644,-0.326949593,-0.33144174,-0.138220105,-0.091390904,-0.091145579
-0.72852183,-0.812414704,0.579849301,-0.31176377,-0.299333876,-0.137791417,-0.091390877,-0.091145439
-0.72852183,-0.629186038,-0.181743811,-0.313362453,-0.303438364,-0.137847105,-0.091390882,-0.091145462
-0.777603758,0.470185956,-0.181743811,-0.318638439,-0.284832671,-0.137815532,-0.091390887,-0.091145399
-0.041374848,-0.812414704,-0.181743811,-0.183291598,-0.194766453,-0.133260554,-0.091388763,-0.091142109
-0.630357976,-0.629186038,0.579849301,-0.289141853,-0.266622351,-0.137085681,-0.091390789,-0.091145102
-0.041374848,-0.629186038,-0.752938644,-0.108504188,-0.136380572,-0.129219638,-0.091383648,-0.091136268
2.314557664,0.470185956,-0.181743811,-0.071371443,-0.065660162,-0.125323954,-0.091377605,-0.091125602
2.314557664,-0.812414704,-0.848137783,7.323285893,7.365322843,7.054397186,4.572880503,4.548530707
-0.630357976,-0.812414704,-0.848137783,-0.235969197,-0.267493035,-0.135992645,-0.09139035,-0.091144761
0.743935989,-0.629186038,-0.752938644,0.145381211,0.115563742,-0.104372697,-0.091290113,-0.091032951
0.743935989,-0.904029036,-0.848137783,2.67706704,2.692604061,1.00510676,0.025043714,0.027723548
-0.434030266,1.936015281,-0.848137783,-0.175891624,-0.190255752,-0.132937032,-0.091388454,-0.091141763
-0.041374848,-0.812414704,-0.752938644,-0.058301224,-0.096972854,-0.125912358,-0.091377053,-0.091129547
-0.777603758,-0.262728707,0.579849301,-0.324952284,-0.283174584,-0.137923955,-0.091390896,-0.091145422
0.743935989,1.936015281,-0.848137783,0.410969029,0.320182786,-0.067508625,-0.090912685,-0.090708941
-0.434030266,-0.262728707,-0.752938644,-0.250889971,-0.266843115,-0.136292376,-0.091390516,-0.09114485
-0.72852183,-0.904029036,0.579849301,-0.308808432,-0.310601661,-0.137826287,-0.091390875,-0.091145478
2.314557664,1.936015281,-0.562540366,-0.097055986,-0.115316634,-0.128109965,-0.091382085,-0.091133681
-0.777603758,1.936015281,-0.562540366,-0.305956348,-0.287240498,-0.137598066,-0.09139086,-0.091145352
-0.630357976,1.936015281,0.579849301,-0.26464139,-0.227492518,-0.136073963,-0.091390575,-0.091144341
-0.630357976,-0.262728707,0.579849301,-0.287499912,-0.253420698,-0.136918414,-0.091390771,-0.091144954
-0.72852183,-0.812414704,-0.562540366,-0.312056341,-0.331908771,-0.138028934,-0.091390887,-0.091145555
-0.041374848,-0.262728707,0.579849301,-0.204219965,-0.176677927,-0.133513686,-0.091389293,-0.091141754
2.314557664,0.470185956,-0.848137783,1.762028767,1.63279822,0.390971824,-0.064978447,-0.067038672
-0.630357976,-0.904029036,-0.752938644,-0.278661816,-0.332343129,-0.137599509,-0.091390803,-0.091145503
-0.434030266,-0.904029036,-0.181743811,-0.237751969,-0.261868201,-0.13593937,-0.091390355,-0.091144685
2.314557664,-0.629186038,0.579849301,0.02381628,0.037048904,-0.116186541,-0.091352176,-0.091091051
-0.777603758,0.470185956,-0.848137783,-0.316948014,-0.310285019,-0.137950828,-0.091390889,-0.091145499
-0.041374848,1.936015281,-0.848137783,0.009565003,-0.028751886,-0.120005735,-0.091360997,-0.091111915
-0.434030266,1.936015281,0.579849301,-0.2321358,-0.200864645,-0.134799828,-0.091390063,-0.091143218
0.743935989,0.470185956,-0.848137783,0.672231811,0.613752114,-0.007008375,-0.089818118,-0.089594994
0.743935989,-0.904029036,-0.181743811,0.208685302,0.189503569,-0.095018249,-0.091229415,-0.090961683
-0.434030266,-0.812414704,-0.848137783,-0.115616984,-0.147177674,-0.129809771,-0.091384459,-0.09113746
-0.434030266,1.936015281,-0.181743811,-0.234919931,-0.217196032,-0.135147186,-0.091390168,-0.091143722
-0.72852183,1.936015281,-0.752938644,-0.295792525,-0.294120723,-0.137474049,-0.091390833,-0.091145351
0.743935989,-0.262728707,-0.752938644,0.114777577,0.089479008,-0.10793022,-0.091310912,-0.091053854
-0.72852183,0.470185956,-0.848137783,-0.29773458,-0.295621539,-0.137521381,-0.09139084,-0.091145367
-0.777603758,-0.812414704,2.103035524,-0.327988232,-0.294853222,-0.138042251,-0.091390901,-0.091145481
-0.041374848,-0.629186038,0.579849301,-0.194172043,-0.176637259,-0.133195369,-0.091388982,-0.091141518
-0.041374848,0.470185956,-0.562540366,-0.203279997,-0.20144646,-0.133983476,-0.09138942,-0.091142736
-0.041374848,-0.262728707,-0.752938644,-0.11669275,-0.135386654,-0.129487514,-0.091384284,-0.091136471
-0.630357976,0.470185956,-0.752938644,-0.28434422,-0.288249133,-0.137211961,-0.091390784,-0.091145262
-0.041374848,1.936015281,-0.181743811,-0.191723087,-0.18119689,-0.133216246,-0.091388936,-0.091141675
0.743935989,0.470185956,-0.181743811,-0.146491126,-0.134817131,-0.13056095,-0.09138634,-0.091137498
2.314557664,-0.262728707,0.579849301,-0.026266102,-0.006139308,-0.120837164,-0.091367443,-0.091109768
-0.434030266,-0.262728707,-0.848137783,-0.176548996,-0.189221979,-0.132932576,-0.091388469,-0.091141728
-0.777603758,-0.629186038,-0.848137783,-0.31812204,-0.32905272,-0.138089496,-0.091390895,-0.091145558
-0.777603758,-0.812414704,-0.848137783,-0.317022047,-0.341165824,-0.138154095,-0.091390896,-0.091145584
-0.777603758,-0.629186038,-0.181743811,-0.3285579,-0.314226366,-0.138152219,-0.091390904,-0.091145542
-0.434030266,0.470185956,0.579849301,-0.247606865,-0.211067541,-0.135395399,-0.091390343,-0.091143753
-0.72852183,1.936015281,-0.181743811,-0.289804533,-0.261472481,-0.137048988,-0.091390788,-0.091145057
0.743935989,-0.262728707,-0.562540366,-0.116415594,-0.123781859,-0.129122643,-0.091384009,-0.091135372
-0.72852183,-0.904029036,-0.848137783,-0.284643264,-0.327368696,-0.137625135,-0.091390819,-0.091145492
-0.630357976,-0.812414704,0.579849301,-0.285104764,-0.27591778,-0.137097986,-0.091390777,-0.091145163
-0.630357976,1.936015281,-0.181743811,-0.267543968,-0.243857673,-0.13635208,-0.091390626,-0.091144649
-0.777603758,-0.262728707,-0.562540366,-0.326482971,-0.315640529,-0.138128496,-0.091390902,-0.091145541
-0.630357976,-0.262728707,-0.562540366,-0.288134104,-0.285212697,-0.137250682,-0.091390798,-0.091145256
2.314557664,-0.262728707,-0.562540366,0.025397756,0.013199499,-0.117230178,-0.091353668,-0.091098642
0.743935989,-0.629186038,-0.562540366,0.028491193,0.013383129,-0.117053303,-0.091352775,-0.091098219
-0.041374848,-0.904029036,-0.848137783,0.615635324,0.594115039,-0.016475643,-0.090085097,-0.0897595
-0.72852183,0.470185956,2.103035524,-0.30164314,-0.242164653,-0.137140871,-0.091390828,-0.09114496
-0.434030266,0.470185956,-0.181743811,-0.248761579,-0.227167282,-0.135664105,-0.091390398,-0.091144139
-0.630357976,1.936015281,-0.848137783,-0.250224275,-0.254004469,-0.136091802,-0.091390479,-0.091144654
-0.72852183,1.936015281,-0.848137783,-0.285541329,-0.282981363,-0.137179451,-0.091390785,-0.091145225
-0.630357976,-0.629186038,-0.181743811,-0.289000561,-0.28239386,-0.137238887,-0.0913908,-0.091145238
-0.041374848,-0.812414704,0.579849301,-0.183238421,-0.178545832,-0.13289295,-0.091388619,-0.091141358
-0.630357976,1.936015281,-0.752938644,-0.273163673,-0.276438079,-0.136868774,-0.091390712,-0.091145101
-0.777603758,0.470185956,0.579849301,-0.316946174,-0.268480206,-0.137676811,-0.09139088,-0.091145299
2.314557664,0.470185956,0.579849301,-0.078014683,-0.056861619,-0.125312739,-0.091378176,-0.091124633
-0.041374848,0.470185956,-0.181743811,-0.203181414,-0.186338393,-0.133675803,-0.091389323,-0.091142145
-0.777603758,1.936015281,2.103035524,-0.295868084,-0.238235614,-0.136968036,-0.091390802,-0.091144857
-0.434030266,-0.262728707,-0.181743811,-0.253577606,-0.238417003,-0.135946244,-0.091390481,-0.091144417
2.314557664,1.936015281,2.103035524,-0.096356275,-0.072807418,-0.126681147,-0.091380854,-0.091128302
-0.434030266,-0.812414704,-0.181743811,-0.244593001,-0.254116582,-0.135967742,-0.091390416,-0.091144609
-0.72852183,0.470185956,-0.752938644,-0.307465996,-0.30724705,-0.13777961,-0.091390871,-0.09114546
-0.777603758,-0.629186038,-0.562540366,-0.328778475,-0.330260343,-0.138237921,-0.091390906,-0.091145579
-0.434030266,-0.904029036,2.103035524,-0.237610526,-0.229215451,-0.135412108,-0.09139025,-0.091144049
-0.434030266,-0.629186038,0.579849301,-0.251563736,-0.231714493,-0.1358011,-0.091390443,-0.091144266
-0.630357976,-0.904029036,-0.562540366,-0.281196447,-0.319052598,-0.137488332,-0.091390799,-0.091145447
-0.434030266,0.470185956,-0.848137783,-0.188573639,-0.196857878,-0.133461852,-0.091388956,-0.091142295
-0.041374848,-0.262728707,-0.848137783,0.073571352,0.056443015,-0.112306992,-0.091333393,-0.091076384
-0.72852183,-0.812414704,-0.752938644,-0.311652466,-0.347478127,-0.138135594,-0.091390891,-0.091145591
-0.630357976,-0.812414704,-0.562540366,-0.285695418,-0.30887396,-0.137448959,-0.091390807,-0.091145404
-0.630357976,0.470185956,2.103035524,-0.279215465,-0.223536704,-0.136401925,-0.091390692,-0.091144455
-0.72852183,-0.262728707,2.103035524,-0.309774903,-0.256595504,-0.137440985,-0.09139086,-0.091145164
-0.630357976,-0.262728707,-0.752938644,-0.287882518,-0.300478884,-0.137399193,-0.091390809,-0.091145361
-0.630357976,-0.629186038,-0.848137783,-0.244853851,-0.263822184,-0.136120968,-0.091390445,-0.091144766
-0.041374848,-0.904029036,0.579849301,-0.171910511,-0.181507491,-0.132608443,-0.09138821,-0.091141253
-0.041374848,-0.629186038,-0.562540366,-0.194078827,-0.208520985,-0.13387053,-0.091389213,-0.091142842
-0.434030266,-0.904029036,-0.848137783,-0.052170234,-0.092854907,-0.125502572,-0.091376047,-0.091128635
-0.041374848,1.936015281,2.103035524,-0.186340607,-0.148625149,-0.132326183,-0.091388481,-0.09113981
2.314557664,-0.812414704,-0.181743811,0.491894156,0.483470216,-0.0432499,-0.090610562,-0.090282095
0.743935989,-0.262728707,0.579849301,-0.134552352,-0.110404895,-0.12943068,-0.091385146,-0.09113484
-0.434030266,-0.262728707,0.579849301,-0.25328164,-0.22249406,-0.135713323,-0.091390443,-0.091144097
-0.630357976,-0.812414704,-0.752938644,-0.284350301,-0.323455829,-0.137580247,-0.091390815,-0.091145475
-0.72852183,-0.262728707,-0.562540366,-0.311721144,-0.305203583,-0.137832839,-0.091390879,-0.091145464
0.743935989,0.470185956,0.579849301,-0.148105096,-0.121307149,-0.13025832,-0.09138624,-0.091136435
0.743935989,1.936015281,-0.752938644,-0.142886836,-0.16798086,-0.131337649,-0.091386637,-0.091139782
-0.041374848,-0.812414704,-0.848137783,0.218500846,0.191202794,-0.094157607,-0.091220623,-0.090957054
